unlocode,name,city,iso,lat,lng
AOETN,Essungo Terminal,,AO,-6.333330,12.166670
AOFBY,Farta Bay,,AO,-12.616670,13.200000
AOFLT,Futila Terminal,,AO,-5.450000,12.183330
AOGIM,Gimboa,,AO,-7.533330,12.166670
AOGIR,Girassol Terminal,,AO,-7.633330,11.683330
AOGPO,Greater Plutonio,,AO,-7.833330,12.116670
AOKOT,Kuito Terminal,,AO,-5.433330,11.483330
AOLAA,Landana (Cacongo),,AO,-5.221487,12.141308
AOLAD,Luanda,,AO,-8.827270,13.243951
AOLBT,Lombo Terminal,,AO,-6.983330,12.350000
AOLOB,Lobito,,AO,-12.350687,13.546432
AOLUC,Lucira,,AO,-13.865498,12.524807
AOMSZ,Namibe,,AO,-15.195064,12.145808
AONDD,Sumbe,,AO,-11.201937,13.839685
AONQI,Nóqui,,AO,-5.850000,13.433330
AONTO,N'Zeto (Ambrizete),,AO,-7.266670,12.850000
AOPAT,Palanca Terminal,,AO,-6.950000,12.400000
AOPBN,Porto Amboim,,AO,-10.727910,13.757899
AOPLE,Porto Alexandre (Tombua),,AO,-15.802058,11.854005
AOPSA,Porto Saco (Portosalazar),,AO,-15.133330,12.133330
AORSN,River Sao Nicolau,,AO,-14.250000,12.333330
AOSTL,Sazaire Terminal,,AO,-6.083330,12.383330
AOSZA,Soyo,,AO,-6.133377,12.371755
AQABA,Aboa,,AQ,-73.050000,-13.416670
AQAPT,Arturo Prat,,AQ,-62.500000,-59.683330
AQARC,Arctowski,,AQ,-62.150000,-58.466670
AQART,Artigas,,AQ,-62.183330,-58.900000
AQBHN,Bellingshausen,,AQ,-62.183330,-58.950000
AQCAS,Casey Station,,AQ,-66.283330,110.516670
AQCFZ,Comandante Ferraz,,AQ,-62.083330,-58.383330
AQDAV,Davis Station,,AQ,-68.566670,77.966670
AQDDU,Dumont d'Urville Station,,AQ,-66.650000,140.000000
AQESC,Escudero,,AQ,-62.200000,-58.950000
AQESP,Esperanza,,AQ,-63.383330,-56.983330
AQGWL,Great Wall,,AQ,-62.216670,-58.966670
AQHLY,Halley,,AQ,-75.566670,-26.533330
AQJBS,Jang Bogo Station,,AQ,-74.600000,164.200000
AQJCP,Juan Carlos Primero,,AQ,-62.650000,-60.383330
AQJUB,Jubany,,AQ,-62.233330,-58.650000
AQKHN,Kohnen,,AQ,-75.000000,0.066670
AQKSG,King Sejong,,AQ,-62.216670,-58.783330
AQLAW,Law Base,,AQ,-69.383330,76.383330
AQMAW,Mawson Station,,AQ,-67.600000,62.866670
AQMCM,McMurdo,,AQ,-77.833330,166.666670
AQMIR,Mirny,,AQ,-66.550000,93.000000
AQMRB,Marambio,,AQ,-64.233330,-56.650000
AQMZU,Mario Zucchelli,,AQ,-74.683330,164.116670
AQOHG,General Bernardo O'higgins,,AQ,-63.316670,-57.900000
AQORC,Orcadas,,AQ,-60.733330,-44.733330
AQPFS,Port Foster,,AQ,-63.000000,-60.566670
AQPLM,Palmer,,AQ,-64.766670,-64.050000
AQPRO,Progress,,AQ,-69.400000,76.383330
